epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,3809.38,2.32353,1.26021,0.86191,0.66183,0.46321,0.52557,0.21417,2.22236,1.13987,0.85057,0.0004754,0.0004754,0.0004754
79,3856.48,2.33023,1.26788,0.86157,0.65924,0.46683,0.52615,0.21473,2.22055,1.14082,0.84966,0.0004556,0.0004556,0.0004556
80,3905.95,2.32351,1.25192,0.86084,0.66115,0.46478,0.5264,0.21501,2.21785,1.14171,0.8497,0.0004358,0.0004358,0.0004358
81,3953.33,2.31917,1.25463,0.86216,0.66058,0.46485,0.52607,0.21456,2.21515,1.13957,0.8498,0.000416,0.000416,0.000416
82,4001.03,2.3381,1.26463,0.85929,0.65251,0.46569,0.52376,0.21391,2.21728,1.13921,0.84907,0.0003962,0.0003962,0.0003962
83,4048.37,2.33675,1.26164,0.85995,0.65758,0.46652,0.52712,0.21459,2.21555,1.14004,0.84823,0.0003764,0.0003764,0.0003764
84,4096,2.33233,1.25459,0.85741,0.65697,0.46627,0.52741,0.21501,2.21017,1.13825,0.84745,0.0003566,0.0003566,0.0003566
85,4143.35,2.33601,1.26379,0.85843,0.66697,0.46173,0.52667,0.21483,2.21438,1.13989,0.8483,0.0003368,0.0003368,0.0003368
86,4190.68,2.32325,1.2487,0.85655,0.66623,0.46242,0.52616,0.21458,2.2154,1.14054,0.84868,0.000317,0.000317,0.000317
87,4237.75,2.32653,1.26073,0.85822,0.66264,0.46516,0.52699,0.21457,2.219,1.13664,0.84836,0.0002972,0.0002972,0.0002972
88,4285.51,2.33112,1.25323,0.85477,0.65407,0.47025,0.52776,0.21489,2.21604,1.13813,0.84842,0.0002774,0.0002774,0.0002774
89,4332.99,2.32115,1.24235,0.85214,0.65408,0.46652,0.52619,0.21501,2.21025,1.13594,0.84853,0.0002576,0.0002576,0.0002576
